Loja;Produto Encontrado;Preco Normal;Oferta;EAN;Nivel de Extracao;URL
Diniz Supermercados;Arroz Arbório Urbano Ideal Para Risotos 1kg;R$ 24,99;R$ 4,49;7896038357017;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/1144/arroz-arborio-urbano-ideal-para-risotos-1kg
Diniz Supermercados;Arroz Meu Biju Branco 1kg;R$ 4,49;—;7893500024682;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/1225/arroz-meu-biju-branco-1kg
Diniz Supermercados;Arroz Célia Parbolizado 1kg;R$ 3,79;—;7896224000284;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/1288/arroz-celia-parbolizado-1kg
Diniz Supermercados;Arroz Realengo Branco 1kg;R$ 5,29;—;7896005286579;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/1375/arroz-realengo-branco-1kg
Diniz Supermercados;Arroz Branco Tipo 1 Chinês Pacote 1kg;R$ 4,79;—;7896224000284;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/1732/arroz-branco-tipo-1-chines-pacote-1kg
Diniz Supermercados;Arroz Urbano Vitaminado Parboilizado 1kg;R$ 4,99;—;7896038398058;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/1961/arroz-urbano-vitaminado-parboilizado-1kg
Diniz Supermercados;Arroz Integral Meu Biju Parbolizado 1kg;R$ 7,99;—;7896024330338;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/2089/arroz-integral-meu-biju-parbolizado-1kg
Diniz Supermercados;Arroz Camil Integral 1kg;R$ 9,99;—;7893500047049;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/2186/arroz-camil-integral-1kg
Diniz Supermercados;Arroz Integral Tio João Parbolizado 1kg;R$ 9,99;—;7893500039389;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/2222/arroz-integral-tio-joao-parbolizado-1kg
Diniz Supermercados;Arroz Urbano Integral Com 8 Saquinhos 1kg;R$ 7,99;—;7896038308484;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/2345/arroz-urbano-integral-com-8-saquinhos-1kg
Diniz Supermercados;Arroz Urbano Vitaminado Branco Longo Fino 1kg;R$ 4,99;—;7896038300082;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/2576/arroz-urbano-vitaminado-branco-longo-fino-1kg
Diniz Supermercados;Arroz Meu Biju Parbolizado 1kg;R$ 4,49;—;7893500039327;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/3156/arroz-meu-biju-parbolizado-1kg
Diniz Supermercados;Arroz Urbano Parboilizado Tipo 1 1kg;R$ 4,49;R$ 4,09;7896038306053;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/3298/arroz-urbano-parboilizado-tipo-1-1kg
Diniz Supermercados;Arroz Urbano Integral 1kg;R$ 6,99;—;7896038308057;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/3385/arroz-urbano-integral-1kg
Diniz Supermercados;Arroz Branco Tipo 1 Tio Urbano 1kg;R$ 4,99;R$ 4,09;7896038321056;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/3426/arroz-branco-tipo-1-tio-urbano-1kg
Diniz Supermercados;Arroz Especial Meu Biju Para Risoto 1kg;R$ 25,99;—;7893500039082;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/10557/arroz-especial-meu-biju-para-risoto-1kg
Diniz Supermercados;Arroz Pai João Tipo 1 1kg;R$ 3,99;—;7896024340337;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/13028/arroz-pai-joao-tipo-1-1kg
Diniz Supermercados;Arroz Parbolizado Namorado 1kg;R$ 4,49;—;7896079441119;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/13029/arroz-parbolizado-namorado-1kg
Diniz Supermercados;Arroz Reserva Especial Camil 1kg;R$ 7,59;—;7896006762003;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/13030/arroz-reserva-especial-camil-1kg
Diniz Supermercados;Arroz Tipo 1 1kg Namorado;R$ 4,59;—;7896079431110;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/13031/arroz-tipo-1-1kg-namorado
Diniz Supermercados;Arroz 7 Cereais Camil 1kg;R$ 16,99;—;7896038357017;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/14918/arroz-7-cereais-camil-1kg
Diniz Supermercados;Arroz Pai Joao 1kg Parboilizado T1;R$ 3,99;—;7893500023357;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/15341/arroz-pai-joao-1kg-parboilizado-t1
Diniz Supermercados;Arroz Tio Loro 1kg Branco;R$ 3,49;—;7896362105117;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/15437/arroz-tio-loro-1kg-branco
Diniz Supermercados;Arroz Tio João Vermelho Cozinha Francesa 500g;R$ 14,99;—;7891132019281;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/964/arroz-tio-joao-vermelho-cozinha-francesa-500g
Diniz Supermercados;Arroz Tio João Cozinha Fácil Brócolis 250g;R$ 7,49;—;7896183909567;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/1021/arroz-tio-joao-cozinha-facil-brocolis-250g
Diniz Supermercados;Arroz Carreteiro Tio Joao 175g;R$ 9,99;—;7893500023357;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/2630/arroz-carreteiro-tio-joao-175g
Diniz Supermercados;Arroz Tio João À Grega Cozinha Fácil 250g;R$ 7,49;—;7893500025450;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/4037/arroz-tio-joao-a-grega-cozinha-facil-250g
Diniz Supermercados;Arroz Urbano Preto 500g;R$ 13,99;—;7896038300082;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/5746/arroz-urbano-preto-500g
Diniz Supermercados;Arroz Urbano Bastami;R$ 24,99;—;7896006762003;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/7292/arroz-urbano-bastami
Diniz Supermercados;Arroz Com Galinha Tio João 175g;R$ 9,99;—;7893500023364;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/10548/arroz-com-galinha-tio-joao-175g
Diniz Supermercados;Arroz Tio Joao Variedades Mundiais Preto 500g;R$ 22,99;—;7893500044949;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/10549/arroz-tio-joao-variedades-mundiais-preto-500g
Diniz Supermercados;Arroz Tio João Integral Vegetais 200g;R$ 6,99;—;7896006755517;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/10562/arroz-tio-joao-integral-vegetais-200g
Diniz Supermercados;Arroz Urbano 7 Grãos Azuki E Abóbora 500g;R$ 10,99;—;7896401183960;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/14490/arroz-urbano-7-graos-azuki-e-abobora-500g
Diniz Supermercados;Arroz Urbano 7 Grãos Lentilha E Girassol 500g;R$ 10,99;—;7896401183984;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/14493/arroz-urbano-7-graos-lentilha-e-girassol-500g
Diniz Supermercados;Arroz Urbano 7 Grãos Zero Glúten Integral Painco + Cateto 500g;R$ 10,99;—;7896401183977;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/14495/arroz-urbano-7-graos-zero-gluten-integral-painco-cateto-500g
Diniz Supermercados;Macarrão De Arroz Urbano Parafuso Integral 500g;R$ 5,99;—;7896038311194;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/884/macarrao-de-arroz-urbano-parafuso-integral-500g
Diniz Supermercados;Mingau Mucilon Arroz Aveia 600g;R$ 17,99;—;7891000120095;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/960/mingau-mucilon-arroz-aveia-600g
Diniz Supermercados;Macarrão de Arroz Urbano Spaguetti 500g;R$ 3,99;—;7896038313198;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/1167/macarrao-de-arroz-urbano-spaguetti-500g
Diniz Supermercados;Macarrão Urbano Arroz Integral Espaguete 500g;R$ 5,99;—;7896038314195;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/2770/macarrao-urbano-arroz-integral-espaguete-500g
Diniz Supermercados;Macarrão De Arroz Urbano Parafuso Zero Glúten 500g;R$ 3,99;—;7896038311194;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/2865/macarrao-de-arroz-urbano-parafuso-zero-gluten-500g
Diniz Supermercados;Macarrão De Arroz Urbano Pena Zero Glúten 500g;R$ 3,99;—;7896038305193;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/3114/macarrao-de-arroz-urbano-pena-zero-gluten-500g
Diniz Supermercados;Macarrão de Arroz Urbano Padre Nosso 500g;R$ 3,99;—;7896038312191;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/3230/macarrao-de-arroz-urbano-padre-nosso-500g
Diniz Supermercados;Tempero Sazón Arroz Branco 60g;R$ 4,99;—;7891132000449;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/3396/tempero-sazon-arroz-branco-60g
Diniz Supermercados;Macarrão De Arroz Urbano Pena Integral 500g;R$ 5,99;—;7896038314195;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/3479/macarrao-de-arroz-urbano-pena-integral-500g
Diniz Supermercados;Tempero E Sabor Maggi Aves, Peixes E Arroz 50g;R$ 3,79;—;7891000037270;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/6043/tempero-e-sabor-maggi-aves-peixes-e-arroz-50g
Diniz Supermercados;Mucilon Nestlé Arroz E Aveia 400g;R$ 15,99;—;7891000040904;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/6156/mucilon-nestle-arroz-e-aveia-400g
Diniz Supermercados;Mingau Nutribom Arroz Aveia 600g;R$ 14,79;R$ 10,99;7891331018214;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/6913/mingau-nutribom-arroz-aveia-600g
Diniz Supermercados;Biscoito De Arroz Camil Chia/linhaça Integral 150g;R$ 7,99;—;7896006716471;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/8001/biscoito-de-arroz-camil-chialinhaca-integral-150g
Diniz Supermercados;Biscoito Natural Life Arroz Integral Sem Gluten Pa 80g;R$ 8,49;—;7896256065817;Nivel 5.1 (Sniffer de API/Rede);https://www.dinizsupermercados.com.br/produto/8011/biscoito-natural-life-arroz-integral-sem-gluten-pa-80g
Mercadinhos Sao Luiz;500 g;R$ 65,00;R$32,50;;—;
Mercadinhos Sao Luiz;ARROZ NATALINO 1KG;R$ 65,00;R$32,50;;—;
Mercadinhos Sao Luiz;FARINHA DE ARROZ URBANO 1KG;R$7,69;—;;—;
Mercadinhos Sao Luiz;FARINHA DE ARROZ URBANO 1KG;R$7,69;—;;—;
Mercadinhos Sao Luiz;ARROZ URBANO 7 GRÃOS 1KG;R$19,49;—;;—;
Mercadinhos Sao Luiz;ARROZ URBANO 7 GRÃOS 1KG;R$19,49;—;;—;
Mercadinhos Sao Luiz;ARROZ ARBÓRIO SAN FREDIANO 1KG;R$34,90;—;;—;
Mercadinhos Sao Luiz;ARROZ ARBÓRIO SAN FREDIANO 1KG;R$34,90;—;;—;
Mercadinhos Sao Luiz;ARROZ URBANO PARA SUSHI 1KG;R$19,49;—;;—;
Mercadinhos Sao Luiz;ARROZ URBANO PARA SUSHI 1KG;R$19,49;—;;—;
Mercadinhos Sao Luiz;ARROZ ARBÓRIO INVERNI 1KG;R$51,89;—;;—;
